aileronStartX,aileronStartChord,aileronStartHinge,aileronEndHinge,totalAileronArea,aileronSpanPerWingspan,aileronChordPerWingChord
0.8037,0.4377,0.5117,0.76,0.1596,0.37,0.24
0.7885,0.4416,0.5072,0.76,0.1661,0.38,0.24
0.7734,0.4454,0.5028,0.76,0.1728,0.39,0.24
0.7582,0.4493,0.4985,0.76,0.1796,0.4,0.24
0.743,0.4532,0.4942,0.76,0.1865,0.41,0.24
0.7279,0.457,0.49,0.76,0.1935,0.42,0.24
0.7127,0.4609,0.4859,0.76,0.2006,0.43,0.24
0.6975,0.4648,0.4819,0.76,0.2079,0.44,0.24
0.6824,0.4686,0.4779,0.76,0.2152,0.45,0.24
0.6672,0.4725,0.474,0.76,0.2227,0.46,0.24
0.652,0.4764,0.4701,0.76,0.2303,0.47,0.24
0.6369,0.4802,0.4664,0.76,0.238,0.48,0.24
0.6217,0.4841,0.4626,0.76,0.2458,0.49,0.24
0.6066,0.488,0.459,0.76,0.2538,0.5,0.24
0.834,0.43,0.514,0.75,0.15,0.35,0.25
0.8188,0.4338,0.5094,0.75,0.1564,0.36,0.25
0.8037,0.4377,0.5049,0.75,0.1629,0.37,0.25
0.7885,0.4416,0.5005,0.75,0.1695,0.38,0.25
0.7734,0.4454,0.4962,0.75,0.1763,0.39,0.25
0.7582,0.4493,0.4919,0.75,0.1832,0.4,0.25
0.743,0.4532,0.4877,0.75,0.1901,0.41,0.25
0.7279,0.457,0.4836,0.75,0.1972,0.42,0.25
0.7127,0.4609,0.4795,0.75,0.2045,0.43,0.25
0.6975,0.4648,0.4755,0.75,0.2118,0.44,0.25
0.6824,0.4686,0.4716,0.75,0.2192,0.45,0.25
0.6672,0.4725,0.4678,0.75,0.2268,0.46,0.25
0.652,0.4764,0.464,0.75,0.2345,0.47,0.25
0.6369,0.4802,0.4602,0.75,0.2423,0.48,0.25
0.6217,0.4841,0.4566,0.75,0.2502,0.49,0.25
0.6066,0.488,0.4529,0.75,0.2583,0.5,0.25
