sref,cref,bref,rootChord,tipChord,tipPositionX,tipPositionY,taperRatio,sweepAngle
0.1115,0.14,0.9144,0.2032,0.0406,0.1631,0.4572,0.2,15
0.1254,0.1575,0.9144,0.2286,0.0457,0.1682,0.4572,0.2,15
0.1394,0.175,0.9144,0.254,0.0508,0.1733,0.4572,0.2,15
0.1533,0.1925,0.9144,0.2794,0.0559,0.1784,0.4572,0.2,15
0.1672,0.21,0.9144,0.3048,0.061,0.1835,0.4572,0.2,15
0.0867,0.1509,0.6096,0.2032,0.0813,0.1122,0.3048,0.4,15
0.0975,0.1698,0.6096,0.2286,0.0914,0.116,0.3048,0.4,15
0.1084,0.1887,0.6096,0.254,0.1016,0.1198,0.3048,0.4,15
0.1192,0.2076,0.6096,0.2794,0.1118,0.1236,0.3048,0.4,15
0.1301,0.2264,0.6096,0.3048,0.1219,0.1274,0.3048,0.4,15
0.1012,0.1509,0.7112,0.2032,0.0813,0.1258,0.3556,0.4,15
0.1138,0.1698,0.7112,0.2286,0.0914,0.1296,0.3556,0.4,15
0.1265,0.1887,0.7112,0.254,0.1016,0.1334,0.3556,0.4,15
0.1391,0.2076,0.7112,0.2794,0.1118,0.1372,0.3556,0.4,15
0.1517,0.2264,0.7112,0.3048,0.1219,0.141,0.3556,0.4,15
0.1156,0.1509,0.8128,0.2032,0.0813,0.1394,0.4064,0.4,15
0.1301,0.1698,0.8128,0.2286,0.0914,0.1432,0.4064,0.4,15
0.1445,0.1887,0.8128,0.254,0.1016,0.147,0.4064,0.4,15
0.159,0.2076,0.8128,0.2794,0.1118,0.1508,0.4064,0.4,15
0.1734,0.2264,0.8128,0.3048,0.1219,0.1546,0.4064,0.4,15
0.1301,0.1509,0.9144,0.2032,0.0813,0.153,0.4572,0.4,15
0.1463,0.1698,0.9144,0.2286,0.0914,0.1568,0.4572,0.4,15
0.1626,0.1887,0.9144,0.254,0.1016,0.1606,0.4572,0.4,15
0.1788,0.2076,0.9144,0.2794,0.1118,0.1644,0.4572,0.4,15
0.1951,0.2264,0.9144,0.3048,0.1219,0.1682,0.4572,0.4,15
0.0991,0.1659,0.6096,0.2032,0.1219,0.102,0.3048,0.6,15
0.1115,0.1867,0.6096,0.2286,0.1372,0.1045,0.3048,0.6,15
0.1239,0.2074,0.6096,0.254,0.1524,0.1071,0.3048,0.6,15
0.1363,0.2282,0.6096,0.2794,0.1676,0.1096,0.3048,0.6,15
0.1486,0.2489,0.6096,0.3048,0.1829,0.1122,0.3048,0.6,15
0.1156,0.1659,0.7112,0.2032,0.1219,0.1156,0.3556,0.6,15
0.1301,0.1867,0.7112,0.2286,0.1372,0.1181,0.3556,0.6,15
