leadingEdgeX,cgPositionX,hTailX,hTailTipY,hTailChord,transitionSetbackRatio,cgPositionRatio,hTailAR,hTailLength,hTailCoeff
0.6858,0.8366,2.0957,0.6168,0.2467,0.9,1,5,1.3208,0.45
0.762,0.9128,2.1719,0.6168,0.2467,1,1,5,1.3208,0.45
0.4572,0.5486,1.964,0.5316,0.2658,0.6,0,4,1.4224,0.45
0.5334,0.5486,2.0402,0.5316,0.2658,0.7,0,4,1.4224,0.45
0.6096,0.5486,2.1164,0.5316,0.2658,0.8,0,4,1.4224,0.45
0.6858,0.5486,2.1926,0.5316,0.2658,0.9,0,4,1.4224,0.45
0.762,0.5486,2.2688,0.5316,0.2658,1,0,4,1.4224,0.45
0.4572,0.5635,1.964,0.5316,0.2658,0.6,0.25,4,1.4224,0.45
0.5334,0.5825,2.0402,0.5316,0.2658,0.7,0.25,4,1.4224,0.45
0.6096,0.6016,2.1164,0.5316,0.2658,0.8,0.25,4,1.4224,0.45
0.6858,0.6206,2.1926,0.5316,0.2658,0.9,0.25,4,1.4224,0.45
0.762,0.6397,2.2688,0.5316,0.2658,1,0.25,4,1.4224,0.45
0.4572,0.5783,1.964,0.5316,0.2658,0.6,0.5,4,1.4224,0.45
0.5334,0.6164,2.0402,0.5316,0.2658,0.7,0.5,4,1.4224,0.45
0.6096,0.6545,2.1164,0.5316,0.2658,0.8,0.5,4,1.4224,0.45
0.6858,0.6926,2.1926,0.5316,0.2658,0.9,0.5,4,1.4224,0.45
0.762,0.7307,2.2688,0.5316,0.2658,1,0.5,4,1.4224,0.45
0.4572,0.5932,1.964,0.5316,0.2658,0.6,0.75,4,1.4224,0.45
0.5334,0.6503,2.0402,0.5316,0.2658,0.7,0.75,4,1.4224,0.45
0.6096,0.7075,2.1164,0.5316,0.2658,0.8,0.75,4,1.4224,0.45
0.6858,0.7646,2.1926,0.5316,0.2658,0.9,0.75,4,1.4224,0.45
0.762,0.8218,2.2688,0.5316,0.2658,1,0.75,4,1.4224,0.45
0.4572,0.608,1.964,0.5316,0.2658,0.6,1,4,1.4224,0.45
0.5334,0.6842,2.0402,0.5316,0.2658,0.7,1,4,1.4224,0.45
0.6096,0.7604,2.1164,0.5316,0.2658,0.8,1,4,1.4224,0.45
0.6858,0.8366,2.1926,0.5316,0.2658,0.9,1,4,1.4224,0.45
0.762,0.9128,2.2688,0.5316,0.2658,1,1,4,1.4224,0.45
0.4572,0.5486,1.9678,0.5638,0.2506,0.6,0,4.5,1.4224,0.45
0.5334,0.5486,2.044,0.5638,0.2506,0.7,0,4.5,1.4224,0.45
0.6096,0.5486,2.1202,0.5638,0.2506,0.8,0,4.5,1.4224,0.45
0.6858,0.5486,2.1964,0.5638,0.2506,0.9,0,4.5,1.4224,0.45
0.762,0.5486,2.2726,0.5638,0.2506,1,0,4.5,1.4224,0.45
0.4572,0.5635,1.9678,0.5638,0.2506,0.6,0.25,4.5,1.4224,0.45
0.5334,0.5825,2.044,0.5638,0.2506,0.7,0.25,4.5,1.4224,0.45
0.6096,0.6016,2.1202,0.5638,0.2506,0.8,0.25,4.5,1.4224,0.45
0.6858,0.6206,2.1964,0.5638,0.2506,0.9,0.25,4.5,1.4224,0.45
0.762,0.6397,2.2726,0.5638,0.2506,1,0.25,4.5,1.4224,0.45
0.4572,0.5783,1.9678,0.5638,0.2506,0.6,0.5,4.5,1.4224,0.45
0.5334,0.6164,2.044,0.5638,0.2506,0.7,0.5,4.5,1.4224,0.45
0.6096,0.6545,2.1202,0.5638,0.2506,0.8,0.5,4.5,1.4224,0.45
0.6858,0.6926,2.1964,0.5638,0.2506,0.9,0.5,4.5,1.4224,0.45
0.762,0.7307,2.2726,0.5638,0.2506,1,0.5,4.5,1.4224,0.45
0.4572,0.5932,1.9678,0.5638,0.2506,0.6,0.75,4.5,1.4224,0.45
0.5334,0.6503,2.044,0.5638,0.2506,0.7,0.75,4.5,1.4224,0.45
0.6096,0.7075,2.1202,0.5638,0.2506,0.8,0.75,4.5,1.4224,0.45
0.6858,0.7646,2.1964,0.5638,0.2506,0.9,0.75,4.5,1.4224,0.45
0.762,0.8218,2.2726,0.5638,0.2506,1,0.75,4.5,1.4224,0.45
0.4572,0.608,1.9678,0.5638,0.2506,0.6,1,4.5,1.4224,0.45
0.5334,0.6842,2.044,0.5638,0.2506,0.7,1,4.5,1.4224,0.45
0.6096,0.7604,2.1202,0.5638,0.2506,0.8,1,4.5,1.4224,0.45
0.6858,0.8366,2.1964,0.5638,0.2506,0.9,1,4.5,1.4224,0.45
0.762,0.9128,2.2726,0.5638,0.2506,1,1,4.5,1.4224,0.45
0.4572,0.5486,1.971,0.5943,0.2377,0.6,0,5,1.4224,0.45
0.5334,0.5486,2.0472,0.5943,0.2377,0.7,0,5,1.4224,0.45
0.6096,0.5486,2.1234,0.5943,0.2377,0.8,0,5,1.4224,0.45
0.6858,0.5486,2.1996,0.5943,0.2377,0.9,0,5,1.4224,0.45
0.762,0.5486,2.2758,0.5943,0.2377,1,0,5,1.4224,0.45
0.4572,0.5635,1.971,0.5943,0.2377,0.6,0.25,5,1.4224,0.45
0.5334,0.5825,2.0472,0.5943,0.2377,0.7,0.25,5,1.4224,0.45
0.6096,0.6016,2.1234,0.5943,0.2377,0.8,0.25,5,1.4224,0.45
0.6858,0.6206,2.1996,0.5943,0.2377,0.9,0.25,5,1.4224,0.45
0.762,0.6397,2.2758,0.5943,0.2377,1,0.25,5,1.4224,0.45
0.4572,0.5783,1.971,0.5943,0.2377,0.6,0.5,5,1.4224,0.45
0.5334,0.6164,2.0472,0.5943,0.2377,0.7,0.5,5,1.4224,0.45
0.6096,0.6545,2.1234,0.5943,0.2377,0.8,0.5,5,1.4224,0.45
0.6858,0.6926,2.1996,0.5943,0.2377,0.9,0.5,5,1.4224,0.45
0.762,0.7307,2.2758,0.5943,0.2377,1,0.5,5,1.4224,0.45
0.4572,0.5932,1.971,0.5943,0.2377,0.6,0.75,5,1.4224,0.45
0.5334,0.6503,2.0472,0.5943,0.2377,0.7,0.75,5,1.4224,0.45
0.6096,0.7075,2.1234,0.5943,0.2377,0.8,0.75,5,1.4224,0.45
0.6858,0.7646,2.1996,0.5943,0.2377,0.9,0.75,5,1.4224,0.45
0.762,0.8218,2.2758,0.5943,0.2377,1,0.75,5,1.4224,0.45
0.4572,0.608,1.971,0.5943,0.2377,0.6,1,5,1.4224,0.45
0.5334,0.6842,2.0472,0.5943,0.2377,0.7,1,5,1.4224,0.45
0.6096,0.7604,2.1234,0.5943,0.2377,0.8,1,5,1.4224,0.45
0.6858,0.8366,2.1996,0.5943,0.2377,0.9,1,5,1.4224,0.45
0.762,0.9128,2.2758,0.5943,0.2377,1,1,5,1.4224,0.45
0.4572,0.5486,2.0678,0.5136,0.2568,0.6,0,4,1.524,0.45
0.5334,0.5486,2.144,0.5136,0.2568,0.7,0,4,1.524,0.45
0.6096,0.5486,2.2202,0.5136,0.2568,0.8,0,4,1.524,0.45
0.6858,0.5486,2.2964,0.5136,0.2568,0.9,0,4,1.524,0.45
0.762,0.5486,2.3726,0.5136,0.2568,1,0,4,1.524,0.45
0.4572,0.5635,2.0678,0.5136,0.2568,0.6,0.25,4,1.524,0.45
0.5334,0.5825,2.144,0.5136,0.2568,0.7,0.25,4,1.524,0.45
0.6096,0.6016,2.2202,0.5136,0.2568,0.8,0.25,4,1.524,0.45
0.6858,0.6206,2.2964,0.5136,0.2568,0.9,0.25,4,1.524,0.45
0.762,0.6397,2.3726,0.5136,0.2568,1,0.25,4,1.524,0.45
0.4572,0.5783,2.0678,0.5136,0.2568,0.6,0.5,4,1.524,0.45
0.5334,0.6164,2.144,0.5136,0.2568,0.7,0.5,4,1.524,0.45
0.6096,0.6545,2.2202,0.5136,0.2568,0.8,0.5,4,1.524,0.45
0.6858,0.6926,2.2964,0.5136,0.2568,0.9,0.5,4,1.524,0.45
0.762,0.7307,2.3726,0.5136,0.2568,1,0.5,4,1.524,0.45
0.4572,0.5932,2.0678,0.5136,0.2568,0.6,0.75,4,1.524,0.45
0.5334,0.6503,2.144,0.5136,0.2568,0.7,0.75,4,1.524,0.45
0.6096,0.7075,2.2202,0.5136,0.2568,0.8,0.75,4,1.524,0.45
0.6858,0.7646,2.2964,0.5136,0.2568,0.9,0.75,4,1.524,0.45
0.762,0.8218,2.3726,0.5136,0.2568,1,0.75,4,1.524,0.45
0.4572,0.608,2.0678,0.5136,0.2568,0.6,1,4,1.524,0.45
0.5334,0.6842,2.144,0.5136,0.2568,0.7,1,4,1.524,0.45
